DOLA Tax Entity Name:,Tax Entity ID:,Certifying County:,2026 Budget Year Total Levy (2025 Tax Year),2026 Budget Year Net Assessed Value (2025 Tax Year)
Delta County School District 50(J),64916/1,Montrose,30.176,7613080
Delta Urban Renewal Authority,15027/1,Delta,0,0
Delta Urban Renewal Authority - Delta Downtown Urban Renewal Plan,15027/2,Delta,0,0
Denargo Market Metropolitan District No. 1,66222/1,Denver,0,9640
Denargo Market Metropolitan District No. 2,66223/1,Denver,61.935,35410710
Denargo Market Metropolitan District No. 3,66224/1,Denver,53.703,12934080
Denmore Metropolitan District No. 1,67855/1,Weld,0,10
Denmore Metropolitan District No. 2,67856/1,Weld,64.444,1207060
Denmore Metropolitan District No. 3,67857/1,Weld,64.444,10
Denmore Metropolitan District No. 4,67858/1,Weld,0,10
Denmore Metropolitan District No. 5,67859/1,Weld,0,10
Denver (City),16002/1,Denver,0,0
Denver 14th Street General Improvement District,66638/1,Denver,0,0
Denver County 1 School District,16900/1,Denver,52.274,26973701403
Denver Downtown Development Authority - Denver Union Station,66255/2,Denver,0,0
Denver Gateway Center Metropolitan District,16026/1,Denver,59.637,33283190
Denver Gateway Meadows Metro. District,65360/1,Denver,78.051,4323100
Denver High Point at DIA Metropolitan District,65666/1,Denver,16.099,1940
Denver International Business Center Metropolitan District No. 1,16025/1,Denver,50.333,61430680
Denver Rock Drill Metropolitan District,67075/1,Denver,0,97680
Denver Southeast Suburban Water & Sanitation District,18007/1,Douglas,0,357753500
Denver Urban Renewal Authority,16009/1,Adams,0,0
Denver Urban Renewal Authority - 101 Broadway,16009/38,Adams,0,0
Denver Urban Renewal Authority - 101 Broadway,16009/38,Denver,0,0
Denver Urban Renewal Authority - 1840 Grant Street,16009/42,Adams,0,0
Denver Urban Renewal Authority - 1840 Grant Street,16009/42,Denver,0,0
Denver Urban Renewal Authority - 2300 Welton Street,16009/29,Denver,0,0
Denver Urban Renewal Authority - 2460 Welton Street,16009/30,Denver,0,0
Denver Urban Renewal Authority - 2560 Welton Street,16009/35,Adams,0,0
Denver Urban Renewal Authority - 2560 Welton Street,16009/35,Denver,0,0
Denver Urban Renewal Authority - 27th and Larimer,16009/41,Adams,0,0
Denver Urban Renewal Authority - 27th and Larimer,16009/41,Denver,0,0
Denver Urban Renewal Authority - 2801 Welton Street,16009/32,Adams,0,0
Denver Urban Renewal Authority - 2801 Welton Street,16009/32,Denver,0,0
Denver Urban Renewal Authority - 29th and Welton,16009/47,Adams,0,0
Denver Urban Renewal Authority - 29th and Welton,16009/47,Denver,0,0
Denver Urban Renewal Authority - 3015 East Colfax,16009/44,Adams,0,0
Denver Urban Renewal Authority - 3015 East Colfax,16009/44,Denver,0,0
Denver Urban Renewal Authority - 38th and Huron,16009/43,Adams,0,0
Denver Urban Renewal Authority - 38th and Huron,16009/43,Denver,0,0
Denver Urban Renewal Authority - 414 14th Street,16009/28,Denver,0,0
Denver Urban Renewal Authority - 4201 East Arkansas,16009/39,Adams,0,0
Denver Urban Renewal Authority - 4201 East Arkansas,16009/39,Denver,0,0
Denver Urban Renewal Authority - 9th Avenue,16009/31,Denver,0,0
Denver Urban Renewal Authority - 9th and Colorado,16009/25,Denver,0,0
Denver Urban Renewal Authority - Alameda Square,16009/2,Denver,0,0
Denver Urban Renewal Authority - American National,16009/3,Denver,0,0
Denver Urban Renewal Authority - Broadway & I-25,16009/37,Adams,0,0
Denver Urban Renewal Authority - Broadway & I-25,16009/37,Denver,0,0
Denver Urban Renewal Authority - California Street Parking Garage,16009/4,Denver,0,0
Denver Urban Renewal Authority - Cherokee,16009/5,Denver,0,0
Denver Urban Renewal Authority - City Park South,16009/6,Denver,0,0
Denver Urban Renewal Authority - Colorado National Bank Building,16009/24,Denver,0,0
Denver Urban Renewal Authority - Downtown,16009/7,Denver,0,0
Denver Urban Renewal Authority - Emily Griffith,16009/36,Adams,0,0
Denver Urban Renewal Authority - Emily Griffith,16009/36,Denver,0,0
Denver Urban Renewal Authority - Evans School,16009/46,Adams,0,0
Denver Urban Renewal Authority - Evans School,16009/46,Denver,0,0
Denver Urban Renewal Authority - Executive Tower Hotel,16009/8,Denver,0,0
Denver Urban Renewal Authority - Fox Park,16009/45,Adams,0,0
Denver Urban Renewal Authority - Fox Park,16009/45,Denver,0,0
Denver Urban Renewal Authority - Globeville Commercial,16009/34,Adams,0,0
Denver Urban Renewal Authority - Globeville Commercial,16009/34,Denver,0,0
Denver Urban Renewal Authority - Guaranty Bank,16009/9,Denver,0,0
Denver Urban Renewal Authority - Highlands Garden,16009/10,Denver,0,0
Denver Urban Renewal Authority - Ironworks Foundry,16009/27,Denver,0,0
Denver Urban Renewal Authority - Ironworks Foundry 2,16009/33,Adams,0,0
Denver Urban Renewal Authority - Ironworks Foundry 2,16009/33,Denver,0,0
Denver Urban Renewal Authority - Lowenstein Theater,16009/11,Denver,0,0
Denver Urban Renewal Authority - Lowry,16009/12,Denver,0,0
Denver Urban Renewal Authority - Marycrest,16009/23,Denver,0,0
Denver Urban Renewal Authority - Mercantile Square,16009/13,Denver,0,0
Denver Urban Renewal Authority - Northeast Park Hill,16009/14,Denver,0,0
Denver Urban Renewal Authority - Pepsi Center,16009/15,Denver,0,0
Denver Urban Renewal Authority - Point Urban,16009/16,Denver,0,0
Denver Urban Renewal Authority - Rock Drill,16009/48,Adams,0,0
Denver Urban Renewal Authority - Rock Drill,16009/48,Denver,0,0
Denver Urban Renewal Authority - Saint Anthony,16009/26,Denver,0,0
Denver Urban Renewal Authority - South Broadway,16009/17,Denver,0,0
Denver Urban Renewal Authority - St. Luke's #1,16009/18,Denver,0,0
Denver Urban Renewal Authority - St. Luke's #2,16009/19,Denver,0,0
Denver Urban Renewal Authority - Stapleton,16009/20,Denver,0,0
Denver Urban Renewal Authority - Sun Valley,16009/40,Adams,0,0
Denver Urban Renewal Authority - Sun Valley,16009/40,Denver,0,0
Denver Urban Renewal Authority - Westwood,16009/21,Denver,0,0
Denver Urban Renewal Authority - York Street,16009/22,Denver,0,0
Denver West Metropolitan District,30101/1,Jefferson,35,147679729
Denver West Metropolitan District - Ex 04,30101/3,Jefferson,19.915,5650032
Denver West Metropolitan District - Ex 14,30101/4,Jefferson,26.063,5280428
Denver West Metropolitan District - Ex 98,30101/2,Jefferson,1.416,6086941
Denver West Promenade Metropolitan District,66370/1,Jefferson,63.471,7004699
"Denver, City and County of",16002/2,Denver,26.328,25445395933
Detention Facility Lease/Purchase,03001/10,Arapahoe,0,0
Developmental Disabilities,03001/11,Arapahoe,1,16458062704
Developmental Disabilities,18008/10,Douglas,1,10398496367
Developmental Disabilities,51010/11,Pueblo,0,0
Developmental Disabilities-Horizons,54012/12,Routt,1,2242144980
Developmental Disability,01001/8,Adams,0.257,13407154911
Developmental Disabled,07003/10,Boulder,0.956,11631881772
Developmental Disabled,16002/6,Denver,1.03,25445395933
Developmental Disabled,39023/10,Mesa,0.219,3011181665
Developmentally Disabled,30047/9,Jefferson,1,13944580797
Developmentally Disabled,35015/10,Larimer,0.75,9180256613
Devils Head Metropolitan District,67103/1,Douglas,0,16960
Devonshire Heights Water & Sanitation District,03035/1,Arapahoe,0,9726299
Diamond Ridge Metropolitan District,65624/1,Elbert,0,0
Diamond Ridge Water & San. District,65625/1,Elbert,0,0
Dillon,59009/1,Summit,2.703,106552959
Dillon Urban Renewal Authority,66146/1,Summit,0,0
Dillon Valley Metropolitan District,59010/1,Summit,0,44924320
Dinosaur,41005/1,Moffat,22.085,1489568
Dinosaur Ridge Metropolitan District,66075/1,Jefferson,77.794,6613468
Dinosaur Ridge Metropolitan District - Ex 17,66075/2,Jefferson,0,1651647
Divide Fire Protection District,60019/1,Teller,10,97147760
Divide MPC Metropolitan District No. 1,65030/1,Teller,0,52530
Divide MPC Metropolitan District No. 2,65031/1,Teller,44.257,2544010
Dolores,42008/1,Montezuma,8.306,12067350
Dolores Canyon Metropolitan District No. 1,66291/1,Mesa,0,44550
Dolores Canyon Metropolitan District No. 2,66292/1,Mesa,0,44550
Dolores Canyon Metropolitan District No. 3,66293/1,Mesa,0,44550
Dolores Canyon Metropolitan District No. 4,66294/1,Mesa,0,44550
Dolores Cemetery District,42005/1,Montezuma,0.76,65564530
Dolores County,17002/1,Dolores,28.013,99324611
Dolores County Library District,17012/1,Dolores,0,0
Dolores County RE No. 2 School District,64917/1,Dolores,21.728,89602594
Dolores County RE No. 2 School District,64917/1,San Miguel,29.892,4637939
Dolores County RE No. 2 School District - Bond,64917/2,Dolores,8.164,101322050
Dolores County RE No. 2 School District - Bond,64917/2,San Miguel,0,0
Dolores Fire Protection District,42006/1,Montezuma,10.055,70889490
Dolores Library District,42026/1,Montezuma,4.777,77295560
Dolores RE-4A School District,42901/1,Montezuma,40.876,83096080
Dolores Water Conservancy District,64054/1,Dolores,2.112,26173918
Dolores Water Conservancy District,64054/1,Montezuma,2.112,465739570
Dominion Water & Sanitation District,65359/1,Douglas,0,100
Donala Water & Sanitation District,21016/1,El Paso,21.296,136820780
Donala Water & Sanitation District Area B,21016/2,El Paso,10.648,480860
Donald Wescott Fire Protection District,21017/1,El Paso,0,0
Donald Wescott Fire Protection District Northern Subdistrict,66840/1,El Paso,0,0
Double El Conservation District,64055/1,El Paso,0,50456400
Double El Conservation District,64055/1,Elbert,0,51737892
Double El Conservation District,64055/1,Lincoln,0,1750960
Douglas County,18008/1,Douglas,19.774,10398496367
Douglas County Conservation District,18010/1,Douglas,0,10022559710
Douglas County Law Enforcement Authority,18009/1,Douglas,4.5,5628247190
Douglas County RE 1 School District,64918/1,Douglas,45.528,11282785487
Douglas County RE 1 School District,64918/1,Elbert,45.528,82420900
Douglas County Woodmoor Mountain General Improvement District,18099/1,Douglas,8.743,4431150
Douglas Creek Conservation District,52002/1,Garfield,0,0
Douglas Creek Conservation District,52002/1,Rio Blanco,0.037,162647430
Douglas Public Library District,18095/1,Douglas,3.519,10398496367
Douthit Metropolitan District,66815/1,Weld,53,509077
Dove Creek,17003/1,Dolores,24.861,4263651
Dove Creek Ambulance District,66727/1,Dolores,2.5,75558427
Dove Creek Fire Protection District,17004/1,Dolores,4.17,71174815
Dove Valley Metropolitan District,03097/1,Arapahoe,10.114,540453056
Dove Valley Metropolitan District-Bonds Only,03097/2,Arapahoe,5.175,4356827
Downtown Boulder Business Improvement District,07073/1,Boulder,3.849,407060998
Downtown Denver Business Improvement District,16022/1,Denver,0,0
Downtown Grand Junction Business Improvement District,65642/1,Mesa,0,65710140
Downtown Longmont Business Improvement District,66172/1,Boulder,0,70349625
Downtown Parker Business Improvement District,67923/1,Douglas,8,9498522
Downtown Steamboat Springs Business Improvement District,65848/1,Routt,0,87059350
Dry Creek Village West Metropolitan District,68263/1,Routt,0,0
Dublin North Metropolitan District No. 1,66021/1,El Paso,0,0
Dublin North Metropolitan District No. 2,66022/1,El Paso,34.5,8875070
Dublin North Metropolitan District No. 3,66023/1,El Paso,34.5,3637130
Durango,34008/1,La Plata,8.537,786102460
Durango 9-R School District,34900/1,La Plata,30.109,1897873320
Durango Business Improvement District,34040/1,La Plata,2,155339070
Durango Fire Protection District,66048/1,La Plata,11.73,820832520
Durango Fire Protection District,66048/1,San Juan,11.73,12559231
Durango Hills Road Improvement District No. 1,34037/1,La Plata,20.379,5711550
Durango Urban Renewal Authority,67316/1,La Plata,0,44069890
Durango Urban Renewal Authority - MidTown Urban Renewal Area,67316/2,La Plata,0,0
Durango Urban Renewal Authority - North Main Gateway Urban Renewal Area,67316/3,La Plata,0,0
Durango West Metropolitan District No. 1,34006/1,La Plata,0,7228360
Durango West Metropolitan District No. 2,34007/1,La Plata,0,17055730
Durango West Metropolitan District No. 2 - Bonds,34007/2,La Plata,0,17728200
E-470 Commercial Metropolitan District No. 1,66900/1,Arapahoe,0,405
E-470 Commercial Metropolitan District No. 2,66901/1,Arapahoe,0,405
E-470 Commercial Metropolitan District No. 3,66902/1,Arapahoe,0,405
E-470 Potomac Metropolitan District,18114/1,Douglas,0,0
E-86 Metropolitan District,67056/1,Elbert,77.559,6945030
EC East Commercial Metropolitan District,68171/1,Elbert,0,10
EC East Industrial Metropolitan District,68172/1,Elbert,0,10
EC East Metropolitan District No. 1,68166/1,Elbert,0,10
EC East Metropolitan District No. 2,68167/1,Elbert,0,10
EC East Metropolitan District No. 3,68168/1,Elbert,0,10
EC East Metropolitan District No. 4,68169/1,Elbert,0,10
EC East Metropolitan District No. 5,68170/1,Elbert,0,10
EC East Overlay Metropolitan District,68173/1,Elbert,0,10
EC East Water & Sanitation District,68174/1,Elbert,0,10
EC West Commercial Metropolitan District,68044/1,Elbert,0,10
EC West Metropolitan District No. 1,68045/1,Elbert,92.009,10
EC West Metropolitan District No. 2,68046/1,Elbert,92.009,10
EC West Metropolitan District No. 3,68047/1,Elbert,0,10
EC West Metropolitan District No. 4,68048/1,Elbert,0,10
EC West Metropolitan District No. 5,68049/1,Elbert,0,10
EC West Overlay Metropolitan District,68050/1,Elbert,0,10
EC West Water & Sanitation District,68051/1,Elbert,0,10
Eads,31002/1,Kiowa,37.109,3997176
Eads RE-1 School District,31900/1,Kiowa,27.307,23089672
Eagle,19009/1,Eagle,2.301,269272550
Eagle Bend Metropolitan District,03147/1,Arapahoe,18.5,107023955
Eagle Brook Meadows Metropolitan District No. 1,67078/1,Larimer,9.767,215
Eagle Brook Meadows Metropolitan District No. 2,67079/1,Larimer,81.571,11575321
Eagle Brook Meadows Metropolitan District No. 3,67080/1,Larimer,70.494,2372384
Eagle Cemetery District,19010/1,Eagle,0.186,457666800
Eagle County,19011/1,Eagle,8.305,5338527000
Eagle County Conservation District,64273/1,Eagle,0.15,4575056570
Eagle County Conservation District,64273/1,Garfield,0.15,4076640
Eagle County Conservation District,64273/1,Grand,0.15,773550
Eagle County Health Service District,19040/1,Eagle,2.761,4861961110
Eagle County School District RE50J,64919/1,Eagle,21.614,5333760890
Eagle County School District RE50J,64919/1,Garfield,21.614,6146230
Eagle County School District RE50J,64919/1,Routt,21.614,16249950
Eagle Creek Metropolitan District,01065/1,Adams,57,11070680
Eagle Downtown Development Authority,67457/1,Eagle,0,8585870
Eagle Meadow Metropolitan District,65038/1,Weld,62.614,4899160
Eagle Ranch Metropolitan District,19065/1,Eagle,19.7,125935200
Eagle River Fire Protection District,19071/1,Eagle,8.263,1806680460
Eagle River Fire Protection District - Lake Creek Subdistrict,68036/1,Eagle,0,70727810
Eagle River Station Metropolitan District,65804/1,Eagle,40.406,1245430
Eagle River WSD-Water Subdistrict,19057/2,Eagle,0.835,1708571030
Eagle River Water And San. District,19057/1,Eagle,2.244,3823281340
Eagle Shadow Metropolitan District No. 1,01078/1,Adams,14.295,61625780
Eagle Shadow Metropolitan District No. 1 Sub-district No. 1,66959/1,Adams,40,8349450
Eagle Valley Library District,19052/1,Eagle,2.763,3191242460
Eagle Valley Transportation Authority,67673/1,Eagle,0,0
Eagle View Metropolitan District,65135/1,Jefferson,0,6998435
Eagle's Nest Metropolitan District,65902/1,Arapahoe,30.779,10356841
Eagle-Vail Metropolitan District,19015/1,Eagle,13.771,155159040
Eagles Nest Metropolitan District,59011/1,Summit,0,0
Eagleview Metropolitan District,67966/1,El Paso,0,232720
Early Childhood,57010/10,San Miguel,0.75,1553350990
Early Childhood Care & Learning,59021/11,Summit,0.5,3562515215
East Adams Conservation District,01007/1,Adams,0,0
East Alamosa Water & Sanitation District,02004/1,Alamosa,7.5,12135796
East Arapahoe Metropolitan District,03036/1,Arapahoe,9.792,6491047
East Aspen Metropolitan District,49027/1,Pitkin,0.307,530635460
East Bend Metropolitan District,67501/1,Arapahoe,84.51,2610356
East Boulder County Water District,07071/1,Boulder,0,17796918
East Cherry Creek Valley Water & Sanitation District,03038/1,Arapahoe,4.468,1054217045
East Cherry Creek Valley Water & Sanitation District (Bonds),03038/3,Arapahoe,0,135385774
East Cherry Creek Valley Water & Sanitation District (Water Only),03038/2,Arapahoe,3.311,6260156
East Cheyenne County Library District,09021/1,Cheyenne,1,95048286
East Cheyenne Groundwater Management District,09008/1,Cheyenne,0,90571873
East Cheyenne Recreation District,09015/1,Cheyenne,1,88002021
East Creek Consolidated Metropolitan District,68024/1,Arapahoe,0,0
East Creek Consolidated Metropolitan District - Tax Area 1,68024/2,Arapahoe,29.174,5830259
East Creek Consolidated Metropolitan District - Tax Area 2,68024/3,Arapahoe,42.169,2373488
East Creek Metropolitan District No. 1,66906/1,Arapahoe,0,0
East Creek Metropolitan District No. 2,66907/1,Arapahoe,0,0
East Dillon Water District,59012/1,Summit,1.556,127070600
East Fossil Creek Ranch Metropolitan District No. 1,66656/1,Larimer,0,0
East Fossil Creek Ranch Metropolitan District No. 2,66657/1,Larimer,45.799,6978683
East Grand 2 School District,25900/1,Grand,19.075,1502348062
East Grand County Fire Protection District No. 4,25003/1,Grand,5.873,734905974
East Jefferson County Sanitation District,30018/1,Jefferson,0.571,102637124
East Lakewood Sanitation District,30019/1,Jefferson,4.106,17852046
